bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
30	30	0.93	8	78.0	0.6	20	0	2475.1 (0.64)
30	40	0.93	8	97.5	0.7	25	0	2545.3 (0.66)
40	1	0.94	8	55.0	0.0	10	0	599.2 (0.12)
40	2	0.94	8	55.0	0.0	10	0	1120.8 (0.22)
40	3	0.94	8	55.0	0.0	10	0	1598.7 (0.31)
40	4	0.94	8	58.5	0.0	11	0	2096.8 (0.41)
40	5	0.94	8	61.5	0.0	12	0	2408.0 (0.47)
40	6	0.94	8	65.5	0.0	12	0	2553.4 (0.50)
40	8	0.94	8	68.0	0.3	13	0	2746.2 (0.54)
40	10	0.94	8	70.0	0.6	13	0	2847.1 (0.56)
40	12	0.94	8	84.5	0.8	16	0	2635.6 (0.51)
40	14	0.94	8	90.0	0.8	17	0	2570.8 (0.50)
40	16	0.94	8	89.5	0.8	17	0	2752.4 (0.54)
40	20	0.94	8	90.0	0.9	17	0	2920.6 (0.57)
40	24	0.94	8	97.0	0.9	18	0	2877.5 (0.56)
40	30	0.94	8	91.5	0.9	17	0	2995.4 (0.59)
40	40	0.94	8	109.0	1.0	21	0	3090.9 (0.60)
50	1	0.94	10	71.0	0.0	11	0	666.8 (0.10)
50	2	0.94	10	71.5	0.0	11	0	1154.4 (0.18)
50	3	0.94	10	71.5	0.0	11	0	1651.4 (0.26)
50	4	0.94	10	74.5	0.0	11	0	2132.4 (0.33)
50	5	0.94	10	74.0	0.0	11	0	2632.3 (0.41)
50	6	0.94	10	78.0	0.0	12	0	3006.5 (0.47)
50	8	0.94	10	88.5	0.1	13	0	3311.0 (0.52)
50	10	0.94	10	88.0	0.4	13	0	3269.1 (0.51)
50	12	0.94	10	86.5	0.7	13	0	3838.7 (0.60)
50	14	0.94	10	92.5	0.9	14	0	3543.0 (0.55)
50	16	0.94	10	92.5	0.9	14	0	3639.2 (0.57)
50	20	0.94	10	92.5	1.0	14	0	3448.6 (0.54)
50	24	0.94	10	92.5	1.0	14	0	3632.6 (0.57)
50	30	0.94	10	98.5	1.0	15	0	3565.0 (0.56)
50	40	0.94	10	122.5	1.0	19	0	4025.8 (0.63)
60	1	0.95	12	104.5	0.0	13	0	713.3 (0.09)
60	2	0.95	12	112.0	0.0	14	0	1207.6 (0.16)
60	3	0.95	12	112.0	0.0	14	0	1747.0 (0.23)
60	4	0.95	12	112.0	0.0	14	0	2271.5 (0.30)
60	5	0.95	12	112.0	0.0	14	0	2897.2 (0.38)
60	6	0.95	12	112.0	0.0	14	0	3413.4 (0.44)
60	8	0.95	12	113.0	0.0	14	0	3858.1 (0.50)
60	10	0.95	12	118.0	0.1	15	0	4253.2 (0.55)
60	12	0.95	12	130.5	0.5	16	0	4756.1 (0.62)
60	14	0.95	12	134.5	0.8	17	0	4976.3 (0.65)
60	16	0.95	12	134.5	1.0	17	0	4813.6 (0.63)
60	20	0.95	12	154.5	1.3	20	0	4773.1 (0.62)
60	24	0.95	12	166.5	1.3	21	0	4802.9 (0.63)
60	30	0.95	12	187.5	1.3	24	0	4793.9 (0.62)
60	40	0.95	12	209.5	1.3	27	0	5113.8 (0.67)
80	1	0.95	14	124.0	0.0	12	0	847.2 (0.08)
80	2	0.95	14	124.0	0.0	12	0	1334.6 (0.13)
80	3	0.95	14	124.0	0.0	12	0	1768.9 (0.17)
80	4	0.95	14	124.0	0.0	12	0	2310.5 (0.23)
80	5	0.95	14	129.0	0.0	12	0	2798.0 (0.27)
80	6	0.95	14	136.5	0.0	13	0	3316.2 (0.32)
80	8	0.95	14	137.0	0.0	13	0	4348.3 (0.42)
80	10	0.95	14	137.0	0.0	13	0	4948.2 (0.48)
80	12	0.95	14	142.0	0.1	13	0	5271.0 (0.51)
80	14	0.95	14	150.0	0.3	14	0	5391.4 (0.53)
80	16	0.95	14	161.5	0.6	15	0	5969.0 (0.58)
